g	r	i	z	side
0.543873681873363	0.354290116709565	0.248023293733935	0.212797432012739	0
0.610238219481201	0.396802570303545	0.281822894810795	0.248313732273457	0
0.605203811743285	0.402168098573213	0.280529721011343	0.247951054112212	0
0.531748343112643	0.361817685904166	0.246801695265284	0.223652299140765	0
0.422625867717527	0.293764042010457	0.203368317801688	0.188241375474857	0
0.309219792336348	0.215515044730289	0.152011087492482	0.149231701069225	0
0.216935933240514	0.149381548626694	0.110788870891272	0.112332233560635	0
0.142210584739589	0.10333492456871	0.0729177432851926	0.0745678640143835	0
0.093214309848	0.0612348782956172	0.0425950061469695	0.0502575526075416	0
0.621359485824826	0.415660664141534	0.288741336535374	0.257639553573821	0
0.597963059650602	0.411366488983145	0.284155134186834	0.254175889905235	0
0.537286874791702	0.364279568534074	0.255776686762659	0.233289992104396	0
0.429787499462531	0.311921667040743	0.21910911051813	0.210993894797235	0
0.337411695037583	0.254568036094019	0.177253508412086	0.17042102925447	0
0.269353154205551	0.201365492947124	0.145895913900404	0.1443778343534	0
0.209780314333645	0.158081081314298	0.11400039125915	0.110705082175495	0
0.161430444726074	0.116487993465835	0.0818758217446451	0.079172569778442	0
0.0996278149947235	0.0757345983484944	0.0498538341958528	0.058564342124065	0
0.603762021517646	0.410599159899108	0.294717283515359	0.261026766181498	0
0.571042700161411	0.400426619927551	0.28206894627566	0.251698096190284	0
0.508865700660751	0.360993358898037	0.255957104538894	0.231145462268906	0
0.429286651485086	0.31804922485496	0.223876723800123	0.214741773355325	0
0.352495277174064	0.279794380622681	0.193703401535896	0.192885699121573	0
0.300733718791206	0.246419369056689	0.169918176277555	0.176042562659401	0
0.25696434388411	0.21287233896478	0.142631157289445	0.145888751461428	0
0.202851660999438	0.162721536015844	0.110963984991188	0.126705187263042	0
0.139381371812589	0.108028710643581	0.0723938240464807	0.0846353655432255	0
0.553199182315515	0.400109453283793	0.287693409738279	0.27274176225007	0
0.482580994829898	0.356458303129393	0.261901119903198	0.245998709523417	0
0.416303137427847	0.320381564961323	0.238842121576822	0.236176084690567	0
0.363046616055855	0.28784898360737	0.212432554717868	0.209775412416403	0
0.323519172151631	0.266663463237875	0.188331673841636	0.191623008933656	0
0.277617812107041	0.244798740168564	0.165656544667013	0.170024002287262	0
0.220156408103255	0.196342906450942	0.131918776262523	0.136541435242446	0
0.155399404659437	0.131211146325664	0.0865661163406268	0.0967154223363439	0
0.0837279040962059	0.0678035656772429	0.0427579916236303	0.0549731919648481	0
0.557589821290589	0.421993077977696	0.314268845529498	0.290490876357648	0
0.492781222758972	0.383423588104479	0.298943782048121	0.2792386975981	0
0.432529600415985	0.350214722388752	0.27881279854932	0.269893634816223	0
0.375051606028451	0.31638833100084	0.246912567959778	0.249331074832	0
0.338377899925402	0.286829862690845	0.212892511741995	0.227477145632406	0
0.27850248443898	0.251453171745224	0.168271948017157	0.187217360506373	0
0.2192203111027	0.194996168916299	0.134008288979937	0.139981771004589	0
0.14991091632747	0.129485265666148	0.0849183588731263	0.097798312635729	0
0.0841054229310139	0.0713383503464697	0.0426381763855927	0.0597746524766055	0
0.0329248037720024	0.0270349062085004	0.00949189438308779	0.0269309392113448	0
0.596737906152703	0.460762113381678	0.348540262892835	0.321939592125054	0
0.547433817235882	0.438632680656958	0.351115306727441	0.338016547277168	0
0.47606927152554	0.405258227133251	0.343812787544454	0.32565887901002	0
0.420461639111481	0.364473764260658	0.3127317508298	0.313879207199961	0
0.359985678249123	0.321041201229186	0.261018965871919	0.267273441353655	0
0.279454439404345	0.261500581470948	0.187790876829161	0.202715958795639	0
0.209318868166797	0.186891838972498	0.132004116440755	0.147916262145922	0
0.136976633253101	0.115429430151282	0.0783659595007112	0.0955478750757695	0
0.0725832252644636	0.060907887494692	0.0447342764020661	0.0636712055935892	0
0.0327658945678851	0.0276014036738659	0.0200903061017086	0.038470265919525	0
0.612017716667662	0.502331967455911	0.417308066493742	0.378913048165266	0
0.557906386152452	0.484010371065382	0.423517515763407	0.397280519595933	0
0.528540029589817	0.464378921017627	0.411405748912864	0.406035596184229	0
0.427032028200039	0.394600045322608	0.351537799561303	0.352461014480837	0
0.324398269546281	0.281890244451316	0.253880782596198	0.275051287313358	0
0.211790401766905	0.194065033538105	0.15458630262619	0.182810638203737	0
0.13146559295588	0.11351303046367	0.0837638395446976	0.109055391995338	0
