r,i,z,y,side
0.026236265897750854,0.025002241134643555,0.03817398101091385,0.02493155002593994,1
0.024565253406763077,0.022780349478125572,0.035484492778778076,0.03146135061979294,0
0.02764200046658516,0.026565486565232277,0.03089633211493492,0.03636486455798149,0
0.0223423819988966,0.022547226399183273,0.03123532049357891,0.026924775913357735,0
0.02587377093732357,0.023051248863339424,0.02671729400753975,0.022299576550722122,0
0.027988344430923462,0.023633481934666634,0.03193173184990883,0.03310108557343483,0
0.024199577048420906,0.02285412698984146,0.02778463251888752,0.025560330599546432,0
0.01929979771375656,0.022461557760834694,0.03314879164099693,0.03268764168024063,0
0.017800671979784966,0.01624586619436741,0.023282716050744057,0.03326713666319847,0
0.017734916880726814,0.01337969209998846,0.022570820525288582,0.027854477986693382,0
0.014777534641325474,0.014519085176289082,0.021914076060056686,0.014295191504061222,0
0.012057533487677574,0.010297156870365143,0.015163875184953213,0.014655317179858685,0
0.009933250024914742,0.008348600938916206,0.01808740384876728,0.003643176518380642,0
0.026098551228642464,0.01952732726931572,0.027966272085905075,0.021260807290673256,1
0.02521629072725773,0.023051248863339424,0.0239778533577919,0.022264273837208748,1
0.027195623144507408,0.02543455921113491,0.030491570010781288,0.03290785476565361,1
0.028933491557836533,0.025882286950945854,0.03482619673013687,0.03354471176862717,1
0.029181616380810738,0.023770425468683243,0.024309681728482246,0.029884984716773033,1
0.027706008404493332,0.025002241134643555,0.021736102178692818,0.030269140377640724,1
0.026273874565958977,0.025370832532644272,0.028947332873940468,0.03425733000040054,1
0.027119381353259087,0.02515452727675438,0.02871065028011799,0.035660520195961,1
0.02849169261753559,0.0280301496386528,0.026284733787178993,0.03283896669745445,1
0.027757255360484123,0.026087872684001923,0.028265707194805145,0.03912899270653725,1
0.031522054225206375,0.02844063751399517,0.040909767150878906,0.03912899270653725,1
0.029247058555483818,0.02861344814300537,0.03341415897011757,0.040350742638111115,1
0.026298973709344864,0.028043365105986595,0.031425841152668,0.03755835071206093,0
0.030702196061611176,0.027792824432253838,0.04452003538608551,0.03382334113121033,0
0.031887929886579514,0.02881331741809845,0.03990163281559944,0.0386514887213707,0
0.028829295188188553,0.0280301496386528,0.031780973076820374,0.01961674727499485,0
0.02561246231198311,0.025040285661816597,0.036526087671518326,0.033739637583494186,0
0.027361076325178146,0.025805339217185974,0.03312091529369354,0.03594721108675003,0
0.024920672178268433,0.02509104646742344,0.03306518495082855,0.03694472089409828,0
0.023763442412018776,0.019480476155877113,0.03591681271791458,0.023583874106407166,0
0.022083094343543053,0.016056600958108902,0.029092377051711082,0.018766961991786957,0
0.02011483907699585,0.016929639503359795,0.0187053382396698,0.016024557873606682,0
0.014902515336871147,0.01492178812623024,0.017730724066495895,0.017244035378098488,0
0.012534799985587597,0.011163122020661831,0.02733255736529827,0.016641709953546524,0
0.009866766631603241,0.013156452216207981,0.017998026683926582,0.01678096130490303,0
0.028271840885281563,0.019915295764803886,0.02764224261045456,0.027828844264149666,1
0.027847016230225563,0.02579251304268837,0.037125397473573685,0.029044676572084427,1
0.02805265039205551,0.025843802839517593,0.03215155005455017,0.03166428208351135,1
0.02877725288271904,0.02734656073153019,0.03514033183455467,0.03296300768852234,1
0.028868338093161583,0.02486293949186802,0.026896191760897636,0.03560331463813782,1
0.027629202231764793,0.0243460051715374,0.03223414719104767,0.02411470375955105,1
0.026840589940547943,0.026474883779883385,0.02585488185286522,0.018866952508687973,1
0.031522054225206375,0.02486293949186802,0.030075671151280403,0.0295818243175745,1
0.03247440978884697,0.02747754566371441,0.029383309185504913,0.03935382887721062,1
0.029077041894197464,0.026036415249109268,0.026513393968343735,0.03567483276128769,1
0.029878368601202965,0.03317612409591675,0.03291214630007744,0.04784063622355461,1
0.03160318732261658,0.03310561552643776,0.038980673998594284,0.03785227984189987,1
0.02850465476512909,0.03063591569662094,0.03282880038022995,0.03444007784128189,0
0.030328961089253426,0.030037181451916695,0.032884351909160614,0.04594944044947624,0
0.032460711896419525,0.030553994700312614,0.03037058375775814,0.04341774433851242,0
0.03158967196941376,0.026981031522154808,0.031289707869291306,0.03567483276128769,0
0.02910315804183483,0.02749066799879074,0.03588791936635971,0.03677031025290489,0
0.03140050172805786,0.02808300033211708,0.03830787166953087,0.04653702303767204,0
0.026261357590556145,0.02657841518521309,0.04061829671263695,0.03510459512472153,0
